이름|영어이름|분류|설명|레벨1|레벨2|특수능력|특수능력설명
추적의 대가|Master Tracker|성혈|당신은 당신이 쫓는 자가 걸었던 길에 대해 본능적인 감각을 갖고 있습니다.|생존을 보너스 기술로 얻습니다. 당신은 가장 희미한 이동의 자국이나, 물과 날씨로 인한 방해를 무시하고, 지난 하루 내에 도시에서 만들어진 발자취를 따라가거나 지난 한 주 내에 야생에서 만들어진 발자취를 따라갈 수 있습니다. 당신은 흔적으로부터 몇 마리의 크리쳐가 이동을 했는지, 그들의 대략적인 신체적 생김새와 현재 상태가 어떤지 알 수 있습니다.|당신의 감각은 면도날처럼 날카롭습니다; +1 지혜 수정치를 얻습니다. 당신은 이미 만났던 사람일 경우, 발자취만 보고 누구인지 파악할 수 있습니다. 하루에 한 번, 당신이 지난 한 주내에 어떤 사건이 일어났고 많이 훼손되지 않은 장소를 본다면 그 장소에서 일어난 일의 대략적인 물리적인 행동을 재구성할 수 있습니다.||
나이트워커|Night Walker|성혈|당신은 저녁 시간과 어두운 장소에 대해 깊은 친밀감을 가지고 있으며, 가장 깊은 어둠에서조차 활동 가능합니다.|잠행을 보너스 기술로 얻습니다. 당신은 완전한 어둠이 아닌 이상 평범하게 볼 수 있으며, 눈이 멀더라도 30ft 내를 볼 수 있는듯 행동 할 수 있습니다. 당신의 잠은 너무나도 얕아서 깨어있는 것과 사실상 동일합니다; 당신은 수면 중에도 주위의 환경에 대해서 완전히 파악하고 있고, 원할때 잠에서 일어날 수 있습니다.|당신의 날렵한 은신술은 압도적입니다. 민첩 수정치에 +1 보너스를 얻습니다. 횃불로 밝혀져 있거나 더 밝은 광원으로 밝혀져 있지 않은 이상, 당신은 시선을 끄는 행동을 하기 이전까지 사실상 투명 상태입니다.||
짐꾼|Pack Beast|성혈|당신은 장거리에 무거운 것을 옮기는데 있어서 마치 소와같은 수용력을 지니고 있습니다.|운동을 보너스 기술로 얻습니다. 당신의 힘은 하중 계산에 한해서 힘을 18 갖고 있는 것으로 취급하며, 이미 18일 경우 22로 취급합니다.|힘 수정치에 +1 보너스를 얻습니다.당신은 턴 종료때 떨어뜨리거나 내려 놓는다면, 장면 당 한번 간단 행동으로 1,000 파운드 내의 물체를 들어서 옮길 수 있습니다. ||
대비된 공예가|Provident Crafter|성혈|당신은 지금 딱 마침 필요한 것이 항상 손 근처에 있거나 재료로 만들어낼 수 있습니다.|제작을 보너스 기술로 얻습니다. 당신의 힘은 하중 계산에 한해서 4추가 된 것으로 취급됩니다. 당신이 물약이나 마법이 부여되어 있는 토큰등의 자질구레한 물건을 사용하거나 그것들을 사용한 기술 판정을 한다면, 보관한 상태여도 준비된 상태로 판정을 합니다.|당신의 손은 빠르고, 가볍습니다; 민첩 수정치에 +1 보너스를 받습니다. 하루에 한 번, 즉시 행동으로 당신이 지난 주에 살 법했을 무게 2 이하의 특정 비마법 아이템이 보관되어있게 할 수 있습니다. 물건의 구매 혹은 제조 가격을 지불하고 장비칸에 넣으십시오. 식량은 이 방식으로 추가할 수 없으며, 같은 물건은 일주일당 한 번 밖에 못 만듭니다.||
바람처럼 걷다|Walk Like Wind|성혈|당신의 놀라운 곡예 능력은 다른 자들이 따라할 수 없는 기동력을 제공합니다.|운동을 보너스 기술로 얻습니다. 당신의 기본 지상 이동속도는 10’ 늘어납니다. 수평인 곳이나, 손으로 잡을 수 있는 곳에서 턴을 종료하는 이상, 당신은 수직으로 이동 할 수 있습니다.|민첩 수정치에 +1 보너스를 얻습니다. 당신은 이동 행동으로 최대 20 ft 멀리 뛰기를 하거나 10ft 수직 점프를 할 수 있습니다. 장면당 한 번, 간단 행동으로 이동 행동을 얻습니다.||
야생의 혀|Wildtongue|성혈|당신은 당신 주위의 자연 세계와 깊은 연결을 가지고 있으며, 야생의 주민들이 원하는 것이 무엇인지를 본능적으로 알 수 있는 감각을 갖고 있습니다. 이 포커스에 한하여 “동물”들은 동물 수준의 지능을 갖고 있는 살아있는 자연 혹은 마법적인 크리쳐입니다.|생존을 보너스 기술로 얻습니다. 당신은 동물이 이해할 수 있는 간단한 생각 정도는 전달할 수 있을 정도로 동물과 의사소통이 가능해집니다. 만약 기분을 좋게 해준다면 이 동물들은 즉각적인 행동으로 할 수 있는 간단한 부탁을 들어줍니다.|당신의 존재감에 들어있는 원초적인 힘은 출중합니다. 매력 수정치에 +1 보너스를 얻습니다. 하루에 한 번 당신은 보이는 동물을 하나에게 한 장면동안 명령을 내릴 수 있습니다. 이 명령이 특별히 스스로에게 해가 되거나, 굉장히 위험한 일이 아닌 이상 이 동물은 일반적인 상황이라면 스스로 이해할 수 없는 복잡한 행동까지 할 수 있습니다. 마법적인 동물들은 이 것에 정신 내성굴림으로 저항할 수 있습니다.||
예지술|Divination|신비한 비밀||지식을 보너스 기술로 얻습니다. 당신이 복잡한 예지 의식으로 한 시간 사용하면 그 끝에 어떤 미래의 사건이나 계획에 대해 한 문장 질문을 합니다. GM은 몰래 난이도 9의 지능/지식 판정을 굴립니다; 성공시 GM이 판단하기에 가장 타당한 미래 예측을 알려줍니다. 실패시 믿음직스럽지만 거짓인 예언을 알려줍니다. 이 기교는 일주일 이후의 미래에 대해 알 수 없으며 본질적으로 동일한 질문을 두 번 할 수 없으며, 현재와 과거 사건들에 대해 알 수 없습니다. 첫 사용 후 일주일 내 재사용은 난이도를 +1 올립니다. 당신은 이 능력을 쓸 때마다 1점의 기관계 부담을 얻습니다.|||
계약술|Pacting|신비한 비밀||기도를 보너스 기술로 얻습니다. 코어 142 페이지의 만신전 목록에서 하나의 목록을 선택합니다. 하루에 한 번 1점의 기관계 부담을 얻고 다음중 하나의 혜택을 즉시 행동으로 얻을 수 있습니다: 명중 굴림에 +4, 기술 판정에 +1, 혹은 주요 행동으로 해당 신의 권역과 연관이 있는 1레벨 주문을 사용할 수 있게 되는 능력. 비록 이 주문은 일반적인 주문 시전 룰을 따르지만 주문이 준비되어 있을 필요가 없고, 주문 슬롯을 필요로 하지 않으며, 비 주문 시전자도 사용할 수 있습니다. 당신의 이질적인 동맹은 당신에게 무언가 기이한 징표를 남겼고, 다른 자들은 당신을 본능적으로 기피하게 만듭니다; 협박과 관련이 없는 모든 사회적 판정에 -1을 받습니다.|||
혈마술|Hemomancy|신비한 비밀||치료를 보너스 기술로 얻습니다. 하루에 한 번 주문을 시전 후 즉시 행동으로 시전된 주문 레벨당 1d4 만큼 피해를 받습니다; 이 주문은 당신이 하루 동안 사용할 수 있는 주문 횟수에 포함되지 않습니다. 이 능력을 사용할 때 마다 1점의 기관계 부담을 받습니다. 이 포커스는 다른 사람을 해하거나, 원하지 않는 자들을 대상으로하는 마법에는 사용할 수 없습니다.|||
문양술|Sigilism|신비한 비밀||당신은 주문을 당신만 사용할 수 있는 작은 토큰에 부여할 수 있습니다. 이러한 토큰을 만드는 것은 주문 레벨당 10분 소요하며, 하루 사용할 수 있는 주문 횟수도 소모합니다. 소모한 주문 횟수는 일반적인 방법으로 회복할 수 있습니다. 이 토큰을 사용하는 것은 주요 행동을 필요로하지만 이 문양을 사용하는 것은 굳게 잡고 있기만 해도 됩니다; 음성이나, 손짓이 필요하지 않으며 피해로 방해를 받지 않습니다. 어느 시점에서든 오직 하나의 토큰에만 힘이 불어넣어져 있을 수 있습니다.|||
정신주술|Mind-Sorcery|신비한 비밀||당신의 주문 시전은 음성과 손짓을 필요로 하지 않습니다. 하지만 여전히 주문 시전은 주요 행동을 필요로 하고, 피해로 인해 중단 될 수 있으며, 대게 갑옷을 입은채로 사용할 수 없습니다. ‘비전 형태의 감정(Apprehending the Arcane Form)’과 같은 주문으로 확인하거나, 당신이 주문을 썼다는 것을 명확하게 알리지 않는 이상 당신의 주문은 당신이 일으켰다는 명백한 증거 없이 발현됩니다. 이 포커스가 선택된 이상, 당신은 순수하게 정신적인 성질의 주문이 아닌 이상 대상에게 HP 피해를 일으키는 주문을 사용할 수 없습니다. 부차적인 효과로 비 정신적 피해를 입히는 주문은 단순하게 그 효과가 발생하지 않습니다.|||
!인간||비인간|당신은 알고리즘적 원칙과 이로부터 번역된 과거 혹은 미래의 인간의 흉내로 운영되는 인간 유기체 시뮬라크럼입니다. 당신은 자아 혹은 의식이 없지만, 일반적인 사람과 똑같이 행동하고, 똑같은 동기들을 갖고 있습니다.|마법을 제외한 다른 기술을 보너스 기술로 얻습니다. 하루에 한 번, 당신의 알고리즘은 하고자하는 행동의 특별히 성공적인 행동을 선정 후 모방하여 기술 판정에 +1 혹은 공격 판정에 +2를 즉시 행동으로 받을 수 있습니다. 당신은 정신에 영향을 끼치는 마법적인 효과에 면역입니다. 이것을 제외하면 당신은 극히 일반적인 사람처럼 완벽하게 행동을 할 수 있으며, 오토마톤의 일반적인 특징을 갖고 있지 않습니다.|||
맹금류 나락종|Accipiter 那落種|비인간|당신은 날개달린 나락이며, 주로 흉측하게 생겼지만 아닌 경우는 일반적으로 잘 생기기도 했습니다. 우연의 산물이든, 당신의 부족의 상황이든, 당신은 인간 주위에서 이성적으로 행동할 수 있습니다. 이 기원은 GM이 패닉에 빠진 지역 주민들의 군중 폭력을 당신이 피할 수 있는 당위성을 제공할 수 있었다는 것을 가정으로 합니다.|운동을 보너스 기술로 얻습니다. 당신은 맹금류 비행(Accipiter Flight) 특수 능력을 갖고 있는 맹금류이며, -1 건강 수정치 페널티, 그리고 +1 민첩 수정치 보너스를 갖고 있습니다.||맹금류 비행(Accipiter Flight)|맹금류들은 밖에 있거나, 충분하게 큰 실내에서 지상의 이동속도의 두 배로 비행을 할 수 있습니다. 뛰어내릴 수 있는 높이에서 시작하는 것이 아닌 이상, 주요 행동으로 날개짓을 해야 비행을 시작할 수 있습니다. 접전 중 이렇게 하는 것은 주위의 적으로부터 바로 근접 공격을 당하게 될 것입니다. 맹금류들은 높이를 일정하게 유지하면서 비행을 할 수 있지만, 이것을 유지하기 위해 이동 행동을 사용하지 않으면 떨어집니다. 비행을 하고자 하는 맹금류들은 일반적인 보관 하중의 절반의 반내림만 보다 적게 들고 있어야 합니다. 협조적이거나 무력화된 성인 인간은 2명의 맹금류가 있어야 비행으로 옮길 수 있고, 비협조적이라면 옮길 수 없습니다. 장거리 이동을 하는 맹금류는 휴식 등을 포함해서 10시간 동안 60마일 이동을 할 수 있으며, 높은 산맥만이 이들을 가로막을 수 있습니다.
귀족 나락종|Aristoi 那落種|비인간|당신은 폭넓은 마법적 우생학 교배 프로그램의 결과로 만들어진 인간들의 태생적인 지배자입니다. 다른 종류의 나락과는 다르게 신체적으로 강하지는 않지만, 당신은 비자연적일 정도로 날카로운 판단력과 대단한 자기규율을 갖고 있습니다.|마법을 제외한 다른 기술과 지휘를 보너스 기술로 얻습니다. 지혜 수정치에 +1을 받습니다. 당신의 날카로운 혜안은 힘이나 민첩 대신 지혜를 무기의 사용 능력치로 쓸 수 있게 합니다.|||
카피바라 수인||비인간|작고, 단단하고, 성격이 온순한 카피바라 수인들은 평화와 외교에 관해서 자연스러운 재능을 보입니다.|설득이나 연결을 보너스 기술로 얻습니다. 매력 수정치에 +1 보너스를 얻습니다. 당신이 있는 곳에서 반응 굴림을 굴린다면 주사위에 +1을 더합니다. 당신은 일주일 동안 특정 언어에 노출되면 쓸만한 정도의 유창성을 얻습니다.|||
구울|Ghoul|비인간|당신은 구울과의 긴 시간의 접촉, 혹은 운이 나빴던 경우 짧은 접촉을 통해 구울다움에 감염되었습니다. 당신의 새로운 식단은 가혹하지만, 당신은 그것을 어떻게 만족시킬지에 대해 판단을 내릴 정도로는 자아를 갖고 있습니다.|당신은 한달에 1 파운드의 신선한 인육을 먹어야 하지만, 잠행을 보너스 기술로 얻고, 구울의 생명력(Ghoulish Vigor)의 혜택을 받을 수 있으며, 힘 또는 민첩 수정치에 +1 보너스를 받을 수 있습니다. 인육을 먹지 않은채 21일이 지났으면 매일 정신 내성을 하거나, 옆에 가장 가까운 인간을 먹으려는 의도로 공격합니다. 이 상태는 30일이 지나면 자동입니다.||구울의 생명력(Ghoulish Vigor)|구울은 날카로운 감각을 갖고 있어서 완전한 어둠 속에서도 명확하게 볼 수 있습니다. 이들은 잠을 자지 않지만, 이들 중 마법사들은 휴식을 해야 주문을 회복할 수 있습니다. 그들은 일반적인 식음료가 필요하지 않으며, 일주일당 1 파운드의 신선한 인간 고기로만 살아갈 수 있습니다.
여우 수인||비인간|재치있는 늪지대 여우 인간들은 스파이, 혹은 감시자로서 활동하게 만들어졌습니다. 이 것은 그들을 만족시킬 수 없는 호기심과 다른 사람들을 조종하려고 하는 경향성을 갖게 했습니다.|감지 혹은 잠행을 보너스 기술로 얻습니다. 지혜 혹은 매력 수정치에 +1 보너스를 얻습니다. 당신은 빛이 적은 곳에서도 명확하게 볼 수 있으며, 당신은 비범하게 빠른 다리를 갖고 있어 이동속도에 10’을 더합니다.|||
전령 나락종|Harbinger 那落種|비인간|당신은 인간 사회에 침투할 수 있는 형상 변화 나락인 전령입니다. 운명의 장난이든, 당신의 꺾을 수 없는 의지든, 당신은 인간 사회에서 평범하게 행동할 수 있습니다.|잠행 혹은 설득을 보너스 기술로 얻고 전령의 얼굴(Harbinger’s Face) 능력을 얻습니다. 매력 수정치에 +1 보너스를 얻고, 건강 수정치에 -1 페널티를 얻습니다.||전령의 얼굴 (Harbinger’s Face)|비록 전령이 지역의 주된 종족과 비슷한 외모로 태어나긴 하지만, 이들의 주위 20마일 내 작은 마을을 구성할 정도 수의 다른 인간들이 존재한다면, 전령은 이들의 신체적 특징을 보이게 변신하는 것이 가능합니다. 이 변신은 한 시간의 조심스러운 집중이 필요하고, 끝나면 성별이 같은 이 마을 사람들의 평균적인 모습으로 바뀝니다. 특정 개인은 이 방법으로 모방될 수 없습니다. 이러한 변신은 전령을 해당 사람들의 언어와 일반적인 풍습과 법에 대해 알 수 있게 됩니다. 이 능력은 전적으로 비마법적인 힘이며, 일반적인 마법으로 파악이 되지 않으며, 마법적, 물리적 조사를 해도 일반적인 사람으로 밖에 보이지 않습니다.
들소 수인||비인간|농경 노동과 신정 고기를 위해 만들어진 강력한 소 수인들인 후아들은 평균적인 키보다 한 피트 더 크고, 더 넓은 체구를 지니고 있습니다. 대부분 뿔을 가지고 있지만, 전투적인 목적으로 쓰기에는 타당하지 않습니다.|운동을 보너스 기술로 얻습니다. 힘 수정치에 +1 보너스를 받고 민첩 수정치에 -1 페널티를 받습니다. 하중 계산에서 당신의 힘은 4 높은 것으로 취급되고, 당신의 기관계 부담 최대치는 일반보다 2 높습니다.|||
키츠네 수인|Kitsune Beastfolk|비인간|당신의 털가죽은 늪지대에서 거주하는 당신의 사촌들보다 주로 더 밝고 불그레하며, 외견상 더 사람에 가깝지만, 당신의 거의 모든 동족들은 여우의 귀와 꼬리를 가지고 있습니다.|감지 혹은 설득을 보너스 기술로 얻습니다. 매력 수정치에 +1 보너스를 얻습니다. 원소 촉발(Elemental Sparks) 기교를 배웁니다. 이미 알고 있다면 원소술사의 보너스 기교를 배웁니다.|||
지저종|Deepfolk|비인간|세계의 뿌리에서 살아가는 먼 깊음의 인간 원주민이지만, 당신은 당신만의 이유로 치명적인 태양빛이 비치는 곳으로 올라왔습니다. 당신의 몸이 완전히 덮여있고, 색깔이 들어있는 고글을 착용하고 있는 동안 당신은 태양에 대해 버틸 수 있지만 긴 노출은 당신에게 행동 불능의 영혼에 닿는 피해를 주게 됩니다.|당신은 빛의 정도에 상관없이 명확하게 볼 수 있습니다. 당신은 일반적인 인간들에 비해 절반의 음식, 물, 그리고 공기만 필요합니다. 당신은 14보다 낮은 하나의 육체적 능력을 14로 올릴 수 있습니다. 햇빛에 눈에 노출되거나 손바닥 정도의 햇빛이 피부에 비친다면 매 라운드 마다 육체 내성을 굴리고 실패시 기관계 부담을 1점 얻습니다. 만약 이 수치가 최대치를 넘으면 당신은 쓰러지고, 몸을 가리지 못한다면 1d6 분 내로 죽습니다.|||
도마뱀 수인||비인간|완전한 냉혈종은 아니지만 그래도 온기를 추구하는 비늘달린 도마뱀 수인들입니다. |운동 또는 생존을 보너스 기술로 얻습니다. 건강 혹은 힘 수정치에 +1 보너스를 받고, 민첩 혹은 매력 수정치에 -1 페널티를 받습니다. 당신은 일반 이동속도로 수영할 수 있으며, 15분 동안 숨을 참을 수 있고, 당신의 강건한 가죽은 최소 1점까지 모든 충격 피해량을 1 줄일 수 있습니다.|||
고양이 수인||비인간|늘씬하고, 재빠르고, 가끔 잔혹함의 냉혈한 쾌락에 빠지는 고양이 수인은 도망가는 노예들이나 도망친 야수들을 사냥할 수 있게 설계되었습니다.|감지 혹은 잠행 기술을 보너스 기술로 얻습니다. 민첩 혹은 매력 수정치에 +1 보너스를 얻습니다. 당신의 손톱은 근접전에서 단검 취급을 받으며, 빛이 적은 환경에서도 잘 볼 수 있습니다. 실제 전투에서 당신이 비살상 피해를 줄때 정신 내성굴림을 합니다. 실패시, 당신의 공격은 살상 피해를 줍니다.|||
오니|Oni|비인간|당신은 고립된 오니 사회로부터 온 오니입니다. 당신은 7ft 높이로 서 있으며, 뿔이 달리고, 강력한 근육을 갖고 있으며, 모든 도락에 맹렬한 욕구를 가지고 있습니다. 당신의 종족의 많은 자들은 새빨갛거나 새파랗지만 인간과 비슷한 피부색을 갖고 있는 경우나 형태에 있어서 작은 정도의 참신함을 갖고 있는 경우도 알려져 있습니다.|접전 혹은 격투를 보너스 기술로 얻습니다. 힘 수정치에 +1 보너스를 얻으며, 하중 계산에서 당신의 힘은 4 높은 것으로 취급합니다. 지혜 수정치에 -1 페널티를 받고, 모든 정신 내성굴림에 -2 페널티를 받습니다.|||
